id,datetime,username,tweets,sentiment_intensity,sentiment,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
463360855678009345,2014-05-05 16:53:31+00:00,BILLYpascal,"""Tech cities and mega dams: Africa's giant infrastructure projects http://t.co/GVecZmi13c . Pour Konza ( Kenya ) attendez ... 2030 !""",0.0,Neutral,0,0,0,1,0,0,0,0
442235209610584065,2014-03-08 09:47:44+00:00,ITWebAfrica,"""Buffer zone ban on Konza tech city development lifted: http://t.co/4jgLMpTl7d #Kenya""",-0.5574,Negative,0,1,0,0,0,0,0,0
441858962900516864,2014-03-07 08:52:40+00:00,mauricemuliko,"""Buffer zone ban on Konza tech city development
lifted 

Last year in January, Kenya’s then president Mwai Kibaki... http://t.co/LaxuiIP7tl""",-0.5574,Negative,0,1,0,0,0,0,0,0
441581316870402049,2014-03-06 14:29:24+00:00,RankaJ,"""Ban on Kenya's Konza tech city development lifted - @ITWebAfrica http://t.co/ydWJxXHDWc""",-0.5574,Negative,0,1,0,0,0,0,0,0
434244751450062848,2014-02-14 08:36:31+00:00,nmatunda,"""Kenya Tech Scene: US firm bags Sh1.2 billion Konza city deal - Business - http://t.co/HvMqEwzSKf http://t.co/wPn0SsYrAp""",0.0,Neutral,0,1,0,0,1,0,1,1
397352584211873792,2013-11-04 13:20:13+00:00,IPCheckIn,"""NEXT IPCheckIn: 9th Nov 2013 Venue: @StrathCIPIT Topic: TMT- Overview of practice in Kenya &amp;operations of tech cities:Konza city case study.""",0.0,Neutral,0,0,0,1,0,1,0,0
377793980354027520,2013-09-11 14:01:18+00:00,AnanseOnline,"""Kenya’s governors tussle on Konza City location to delay project http://t.co/VESNndeHhb #Africa #tech #News""",-0.3182,Negative,1,0,1,1,0,1,0,1
369805211746836480,2013-08-20 12:56:47+00:00,HumanIPO,"""Invest in Konza: @UKenyatta urges China to put money into Kenya's tech city http://t.co/LK3QmfoJqg""",0.0,Neutral,1,1,0,0,1,0,1,1
364483231585800192,2013-08-05 20:29:08+00:00,Andiswa_Mqt,"""Kenya continues to invest in being Africa's tech capital: 
Konza investors to be exempt from income tax for 10 years http://t.co/OSb5Fw8Mds""",0.1027,Positive,0,0,0,0,0,1,0,0
362141913542950912,2013-07-30 09:25:35+00:00,ItsKyalo,"""Kenya's tech city, Konza, is targeting completion in 2030. Ghana' tech city, Hope, is targeting completion in 2016""",0.4404,Positive,0,1,0,0,1,0,1,1
362140956671213569,2013-07-30 09:21:46+00:00,roomthinker,"""Kenya's tech city, Konza, is targeting completion in 2030. Ghana' tech city, Hope, is targeting completion in 2016""",0.4404,Positive,0,1,0,0,1,0,1,1
351418737439686656,2013-06-30 19:15:30+00:00,jlhornberg,"""Yes. Worth watching that space! @Rachsahni: Africa's Tech cities... Urban future or Utopian Fantasy? #Kenya #Konza http://t.co/CVgrmZHPyT""",0.2942,Positive,0,2,0,1,1,0,0,1
351411251177459712,2013-06-30 18:45:45+00:00,Rachsahni,"""Africa's Tech cities... Urban future or Utopian Fantasy? #Kenya #Konza http://t.co/elCPsfNVAC""",0.0,Neutral,0,1,0,0,1,0,0,1
346969609020252161,2013-06-18 12:36:15+00:00,rondaz_g,"""#Kenya: Govt launches forum to include #local communities in planning &amp; development of high-tech Konza City http://t.co/D8bwhoqEVF #ict4d""",0.0,Neutral,0,3,0,0,0,0,0,0
346652422384541697,2013-06-17 15:35:52+00:00,rondaz_g,"""#Kenya: Govt launches forum to include #local communities in planning &amp; development of high-tech Konza City http://t.co/FOOet0ogDs #ict4d""",0.0,Neutral,0,3,0,0,0,0,0,0
